"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","subject_id","study_id","session_id","rt","stimulus","response","task","attempt","result","id","slider_start"
"true","false","[]","[]","[]","preload","0","2.1.0","395","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","7090","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","6692","
    <div style=""font-size: 16px; text-align: center; margin-top: 25px; margin-right: 100px; margin-left: 100px; margin-bottom: 25px;"">
        <p>This study requires you to listen to audio clips. To ensure you can adequately hear the audio presented in this study, the next page will have an audio attention check. Please wear headphones, and be prepared to adjust the volume on your device if necessary.<br><br>When you are ready to begin the audio attention check, click 'Start'.</p>
    </div>
","0","","","","",""
"","","","","","audio-button-response","2","2.1.0","13145","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","5691","audio/gift.wav","2","audio_check","1","correct","",""
"","","","","","html-button-response","3","2.1.0","14573","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","1427","<p>Correct! You are ready to begin the study.</p>","0","","","","",""
"","","","","","html-button-response","4","2.1.0","30854","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","16279","
        <div style=""
            max-width: 640px;
            margin: 40px auto;
            padding: 32px 40px;
            background: #ffffff;
            border: 1px solid #e5e7eb;
            border-radius: 16px;
            font-size: 16px;
            line-height: 1.6;
            text-align: left;
            color: #1f2937;
        "">
            <p style=""margin-top: 0;"">In this study, you will hear a single audio clip of someone speaking.</p>
            <p>Please listen carefully. The clip will play <strong>once</strong> and cannot be replayed, so keep your headphones on and your volume set.</p>
            <p>After listening, you will be asked to type the first <strong>five words</strong> that come to mind to describe what you heard (one word per box), and then answer a short question about the voice.</p>
            <p>There are no right or wrong answers. We are interested in your honest first impressions.</p>
            <p style=""margin-bottom: 0;"">When you understand these instructions and are ready to hear the audio clip, click 'Continue'.</p>
        </div>
    ","0","","","","",""
"","","","","","audio-keyboard-response","5","2.1.0","47184","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","null","audio/xiaoxi.mp3","null","listen","","","xiaoxi",""
"","","","","","survey-text","6","2.1.0","70934","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","23732","","{""word_1"":""Horizon"",""word_2"":""Arch"",""word_3"":""When"",""word_4"":""The"",""word_5"":""sunlight""}","response","","","xiaoxi",""
"","","","","","html-slider-response","7","2.1.0","78271","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","7332","<p>How human did the voice sound?</p>","64","rating","","","xiaoxi","50"
"","","","","","html-button-response","8","2.1.0","82962","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","4688","<p>You have completed the listening trial. You will now be directed to an short questionnaire about artificial intelligence, followed by an optional demographic survey. <br><br> After seeing the survey, you will be able to end the study.</p>","0","","","","",""
"","","","","","survey","9","3.0.0","173117","6a05daa3f74d640af4ad328d","6a4006e2dbfd0dc33ffaa39b","6a42a375fd58b6ea41a0724c","90093","","{""cognitive_1"":2,""behavioral_1"":2,""affective_1"":1,""cognitive_2"":1,""affective_2"":2,""behavioral_2"":5,""understood"":true,""age"":39,""gender"":""Female"",""ethnicity"":""Hispanic"",""language"":""Spanish and English"",""education"":""Some college"",""enjoy"":""Better than average study"",""payment"":""The payment was fair"",""question1"":null,""question2"":null,""question3"":null,""comments"":null}","","","","",""
